date,TEST,ARIMA1,ARIMA3,ARIMA7 ,ARIMA14,BP1,BP3,BP7,BP14,LSTM1,LSTM3,LSTM7,LSTM14,seq2seq1,seq2seq3,seq2seq7,seq2seq14
8/21/2014,1992.369995,1985.410201,1429.569687,1370.738104,1343.809413,1940.39856,1617.138062,1466.346802,1241.334229,1794.930542,1955.442993,1819.712524,1580.887085,1936.589966,1918.61084,1916.253662,1878.893555
8/22/2014,1988.400024,1991.703874,1429.524263,1372.140275,1348.88179,1951.294434,1620.092651,1467.363037,1241.452393,1801.535156,1958.994751,1820.440918,1580.818115,1945.353394,1927.282593,1912.828369,1868.976563
8/25/2014,1997.920044,1987.982336,1429.506594,1373.15346,1347.633225,1953.699951,1619.681274,1467.090088,1239.929077,1802.99231,1958.442505,1820.396729,1579.618286,1947.286133,1928.640137,1911.393921,1865.883301
8/26/2014,2000.02002,1997.176643,1438.298764,1374.539329,1347.65298,1953.814453,1620.660278,1467.74585,1240.317383,1803.061646,1959.969727,1821.3302,1579.62854,1947.378296,1930.910034,1920.462402,1876.331055
8/27/2014,2000.119995,1999.337541,1438.417344,1375.489169,1347.388789,1949.942749,1621.329834,1468.092773,1241.009644,1800.716309,1960.321533,1821.772095,1580.283813,1944.266968,1925.660767,1916.583984,1873.283691
8/28/2014,1996.73999,1999.969843,1438.27158,1374.078902,1347.240301,1957.539673,1622.228394,1467.080811,1241.802979,1805.316895,1961.511108,1819.917114,1581.498535,1950.369751,1932.068848,1904.522461,1868.610474
8/29/2014,2003.369995,1997.271692,1452.36689,1373.69754,1347.335446,1956.290283,1620.661987,1465.92688,1241.995605,1804.560547,1959.635132,1819.290039,1581.946655,1949.366577,1930.841797,1915.811035,1866.553467
9/2/2014,2002.280029,2002.872936,1451.832588,1373.640115,1347.378311,1954.502197,1622.28772,1465.380127,1242.379639,1803.478027,1961.979736,1819.424316,1582.087646,1947.930542,1932.079956,1920.640015,1869.643188
9/3/2014,2000.719971,2002.127211,1452.501865,1386.60856,1347.347451,1950.984863,1622.532593,1464.470215,1241.544067,1801.347656,1961.508545,1817.287231,1580.866821,1945.104492,1925.241455,1909.865601,1872.009888
9/4/2014,1997.650024,2001.071424,1459.22505,1386.683521,1347.336186,1962.516846,1619.61792,1462.79834,1240.206543,1808.328857,1958.187744,1815.477051,1580.20752,1954.364624,1934.111938,1904.796143,1875.249146
9/5/2014,2007.709961,1998.249631,1458.699907,1386.920612,1347.310077,1955.442017,1616.565308,1461.969604,1239.436279,1804.046997,1955.369263,1815.45752,1579.335083,1948.685547,1933.0271,1916.947266,1860.945313
9/8/2014,2001.540039,2007.025456,1459.478661,1385.034171,1347.271741,1940.444336,1615.810425,1462.936768,1238.581543,1794.95813,1953.917114,1816.085938,1579.033813,1936.626709,1918.751831,1917.071045,1872.858398
9/9/2014,1988.439941,2001.724771,1457.327263,1383.649115,1347.240395,1948.740356,1614.709839,1465.67041,1238.150879,1799.987793,1952.305298,1818.15564,1577.292847,1943.300415,1923.015259,1912.524536,1870.033813
9/10/2014,1995.689941,1990.052555,1457.197364,1384.066826,1347.21292,1950.755981,1611.491577,1466.973389,1237.11438,1801.208984,1949.113037,1820.055176,1577.207031,1944.920532,1927.626343,1904.158569,1863.674316
9/11/2014,1997.449951,1996.067764,1457.473329,1384.246463,1347.1843,1937.128906,1612.368652,1466.551636,1235.386719,1792.946777,1950.446899,1819.087769,1574.626953,1933.957764,1919.323975,1897.614868,1848.884155
9/12/2014,1985.540039,1996.821028,1437.081395,1372.459342,1350.436331,1935.517212,1616.81189,1465.422119,1232.632446,1791.96875,1954.971558,1818.106201,1572.113647,1932.659546,1914.49292,1905.553711,1854.02002
9/15/2014,1984.130005,1986.816299,1437.344022,1374.097416,1350.405948,1952.508545,1623.96521,1465.748169,1232.734985,1802.270508,1963.829102,1819.779663,1571.50769,1946.328979,1930.049561,1928.593506,1857.844727
9/16/2014,1998.97998,1985.463031,1437.003169,1372.957827,1350.122735,1955.476196,1627.014404,1462.577148,1232.515503,1804.067627,1966.930786,1816.257935,1571.775269,1948.712891,1929.759277,1907.113525,1846.567749
9/17/2014,2001.569946,1997.806094,1434.367261,1372.070173,1349.878558,1966.705811,1624.602783,1461.018433,1231.621582,1810.862183,1963.842773,1813.008057,1570.926147,1957.724609,1936.401245,1914.159912,1827.828857
